Breath_num,Dy_comp,Label
1,19.25313927,Noise
2,41.35110246,Normal
3,39.43199498,Normal
4,41.30169385,Normal
5,41.03345771,Normal
6,43.29623588,Normal
7,39.73952941,Normal
8,44.62068724,Normal
9,43.95653034,Normal
10,45.04060403,Normal
11,44.03643617,Normal
12,43.85440986,Normal
13,44.30659631,Normal
14,44.5098285,Normal
15,44.9024183,Normal
16,44.50432181,Normal
17,47.33323529,Noise
18,51.52099567,Normal
19,40.3466199,Normal
20,40.8364071,Normal
21,45.00281385,Normal
22,45.17315436,Normal
23,47.20919463,Normal
24,44.85358593,Normal
25,43.91536913,Normal
26,46.19556011,Normal
27,45.59467213,Normal
28,46.0557377,Normal
29,45.71603518,Normal
30,46.20514208,Normal
31,43.64948119,Normal
32,45.96812081,Normal
33,44.97130607,Normal
34,45.12939597,Normal
35,46.2185906,Normal
36,46.04639697,Normal
37,45.29968632,Normal
38,45.20758197,Normal
39,41.34925373,Normal
40,41.43289801,Normal
41,43.49474734,Normal
42,47.57568871,Normal
43,55.72610294,Normal
44,51.99496063,Normal
45,49.58184569,Normal
46,46.31469265,Normal
47,47.1168883,Normal
48,48.6776148,Normal
49,43.27328571,Normal
50,53.17379095,Normal
51,49.62555096,Normal
52,50.47209302,Normal
53,47.51847181,Normal
54,47.52230878,Normal
55,57.50971074,Noise
56,42.70967213,Noise
57,52.27327273,Noise
58,43.84352574,Noise
59,43.20410765,Normal
60,41.37096995,Noise
61,5.89922179,Noise
62,3.960638298,Noise
63,2.944543651,Noise
64,-2.630456349,Noise
65,-141.6133663,Noise
66,42.78209607,Normal
67,41.52958777,Normal
68,42.43404255,Normal
69,44.32711409,Normal
70,45.05674931,Normal
71,45.29050546,Normal
72,44.64945355,Normal
73,44.68731544,Normal
74,44.79986577,Normal
75,44.44100135,Normal
76,44.45033245,Normal
77,43.70970745,Normal
78,43.74509804,Normal
79,43.79261214,Normal
80,43.34359477,Normal
81,44.50804749,Normal
82,44.5647651,Normal
83,44.38769947,Normal
84,44.97409396,Normal
85,44.25412234,Normal
86,44.72825798,Normal
87,44.19554521,Normal
88,44.59050132,Normal
89,44.3856383,Normal
90,43.74637203,Normal
91,44.00921569,Normal
92,43.81679739,Normal
93,44.06695251,Normal
94,44.39426121,Normal
95,44.26609043,Normal
96,44.75890501,Normal
97,44.23803191,Normal
98,44.0027451,Normal
99,44.53337766,Normal
100,43.6567942,Normal
101,43.95084306,Normal
102,43.72385621,Normal
103,43.70294118,Normal
104,43.56686122,Normal
105,43.25228758,Normal
106,43.7903599,Normal
107,43.1874036,Normal
108,43.4159383,Normal
109,43.6459144,Normal
110,43.68588391,Normal
111,44.46287582,Normal
112,44.33045213,Normal
113,44.14861478,Normal
114,44.79242021,Normal
115,44.31010638,Normal
116,45.39731544,Normal
117,45.18335589,Normal
118,45.22848444,Normal
119,45.67219215,Normal
120,44.6657047,Normal
121,45.59899329,Normal
122,45.01013423,Normal
123,45.23308725,Normal
124,45.55453315,Normal
125,44.54469799,Normal
126,44.85152926,Normal
127,45.0066443,Normal
128,45.05691275,Normal
129,45.31711409,Normal
130,44.97909337,Normal
131,45.79979866,Normal
132,45.88285519,Normal
133,45.32435724,Normal
134,45.45496644,Normal
135,45.12050068,Normal
136,45.75932886,Normal
137,45.26373478,Normal
138,45.00369128,Normal
139,45.62409396,Normal
140,45.54221311,Normal
141,45.5895302,Normal
142,45.3462111,Normal
143,45.4767253,Normal
144,46.38271858,Normal
145,46.07713499,Normal
146,46.48763661,Normal
147,46.00853825,Normal
148,45.80539617,Normal
149,46.26092896,Normal
150,45.42322404,Normal
151,46.47001366,Normal
152,46.2338843,Normal
153,46.31315427,Normal
154,46.58002755,Normal
155,46.32802503,Normal
156,46.29494536,Normal
157,45.97603306,Normal
158,45.86946721,Normal
159,45.92861976,Normal
160,45.45628415,Normal
161,46.51714481,Normal
162,45.4898224,Normal
163,46.14303279,Normal
164,46.26939891,Normal
165,45.5909153,Normal
166,46.45286885,Normal
167,46.15048209,Normal
168,46.48236915,Normal
169,46.21796448,Normal
170,46.39527121,Normal
171,46.28148907,Normal
172,46.45895317,Normal
173,45.98429752,Normal
174,46.20771858,Normal
175,45.04418133,Normal
176,46.25649526,Normal
177,46.31060606,Normal
178,46.15599174,Normal
179,46.18920765,Normal
180,46.03147383,Normal
181,46.73367769,Normal
182,46.55222531,Normal
183,46.15020661,Normal
184,46.13620219,Normal
185,46.31759388,Normal
186,46.90736915,Normal
187,46.6159249,Normal
188,45.84946309,Normal
189,46.40204918,Normal
190,46.13119835,Normal
191,46.48012295,Normal
192,46.28539945,Normal
193,46.61808067,Normal
194,46.48946281,Normal
195,46.50354659,Normal
196,46.55102459,Normal
197,46.5201669,Normal
198,46.23236915,Normal
199,46.23148907,Normal
200,45.81473829,Normal
201,46.96811295,Normal
202,45.93787879,Normal
203,46.2661157,Normal
204,46.47862022,Normal
205,45.87541322,Normal
206,46.36045082,Normal
207,46.13265027,Normal
208,46.01031421,Normal
209,46.49610656,Normal
210,32.55433884,Bronch
211,-420.4261905,Bronch
212,-45.12828685,Bronch
213,-35.11284404,Bronch
214,15.49266304,Bronch
215,-0.368674699,Bronch
216,27.42653061,Bronch
217,-15.65397727,Bronch
218,0.072413793,Bronch
219,-78.37485549,Bronch
220,-111.4028037,Bronch
221,24.68066265,Bronch
222,20.53247312,Bronch
223,5.023291925,Bronch
224,47.06201342,Normal
225,47.40516997,Normal
226,46.94644295,Recruitment
227,38.71993838,Recruitment
228,34.70539394,Recruitment
229,29.06706816,InPause
230,39.25963896,InPause
231,63.71973154,Recruitment
232,72.83402062,Normal
233,71.57154812,Normal
234,71.04979079,Normal
235,70.81742268,Normal
236,70.01589958,Normal
237,68.64928862,Normal
238,68.91219512,Normal
239,68.77489837,Normal
240,68.50502008,Normal
241,68.07652439,Normal
242,68.16164659,Normal
243,67.87299197,Normal
244,67.09920792,Normal
245,68.36174699,Normal
246,67.15080321,Normal
247,67.68346535,Normal
248,67.35180723,Normal
249,66.80732673,Normal
250,67.08613861,Normal
251,67.54096386,Normal
252,67.45207921,Normal
253,67.14638554,Normal
254,66.73485149,Normal
255,67.3049505,Normal
256,67.1876506,Normal
